"entrezgene_id","ensembl_gene_id","hgnc_symbol","external_gene_name","log2FoldChange_soft_stiff","stat_soft_stiff","padj_soft_stiff"
"26",29,"ENSG00000276016","ABR","ABR",-0.351792984608795,-4.1692293339774,7.91316277844744e-05
"27",29,"ENSG00000159842","ABR","ABR",-0.351792984608795,-4.1692293339774,7.91316277844744e-05
"28",30,"ENSG00000060971","ACAA1","ACAA1",-0.172941031650361,-1.56342631339346,0.172338292090502
"29",31,"ENSG00000278540","ACACA","ACACA",-1.02225220091365,-14.0274428534723,1.94557148371387e-43
"30",31,"ENSG00000275176","ACACA","ACACA",-1.02225220091365,-14.0274428534723,1.94557148371387e-43
"31",32,"ENSG00000076555","ACACB","ACACB",0.333677420398771,1.68298174396184,0.139267089850059
"32",33,"ENSG00000115361","ACADL","ACADL",2.50123421847956,3.36525838425561,0.00167832827256885
"33",34,"ENSG00000117054","ACADM","ACADM",-0.118065928439019,-0.951554427714077,0.425970632462541
"34",35,"ENSG00000122971","ACADS","ACADS",1.15423569529812,6.66246075294295,1.12398639366466e-10
"35",36,"ENSG00000196177","ACADSB","ACADSB",-0.0678336594890028,-0.621914390885111,0.615021786326428
"36",37,"ENSG00000072778","ACADVL","ACADVL",0.922882551749606,12.2582465288252,1.94898826297758e-33
"37",38,"ENSG00000075239","ACAT1","ACAT1",-0.0252393040793821,-0.315737152007506,0.808217069260295
"38",39,"ENSG00000120437","ACAT2","ACAT2",-0.81859044089924,-8.2021703469835,1.3226317610658e-15
"39",41,"ENSG00000110881","ASIC1","ASIC1",1.75618545240138,9.41635908160213,3.29072878619931e-20
"40",47,"ENSG00000131473","ACLY","ACLY",-0.836565090688749,-13.2743769489574,5.14876262743344e-39
"41",48,"ENSG00000122729","ACO1","ACO1",-0.301916608729737,-3.58332669988517,0.000780388832698216
"42",50,"ENSG00000100412","ACO2","ACO2",-0.175156605728049,-2.18038880512731,0.0497032659610737
"43",51,"ENSG00000161533","ACOX1","ACOX1",-0.0444739620765295,-0.534809418289708,0.669177290770539
"44",52,"ENSG00000143727","ACP1","ACP1",-0.467069899218721,-6.14397107661105,3.03761687878346e-09
"45",53,"ENSG00000134575","ACP2","ACP2",-0.623846860532112,-5.27776302379289,4.1976487046379e-07
"46",54,"ENSG00000102575","ACP5","ACP5",2.02955190814295,2.57144831568359,0.0188534992472825
"47",55,"ENSG00000014257","ACP3","ACP3",0.586441979892279,1.94866894886081,0.0823988023542988
"48",56,"ENSG00000134940","ACRV1","ACRV1",-0.867197812321525,-1.12389598814747,0.340206114781567
"49",58,"ENSG00000143632","ACTA1","ACTA1",-0.831071271811127,-4.4311517831317,2.56250697397925e-05
"50",59,"ENSG00000107796","ACTA2","ACTA2",2.8544338564666,16.759420672468,1.67430915827777e-61
"51",60,"ENSG00000075624","ACTB","ACTB",-0.706215771037774,-10.5394356358768,5.02373273483518e-25
"52",71,"ENSG00000291420","ACTG1","ACTG1",-0.0162293792248504,-0.254696256153714,0.847689697089839
"53",71,"ENSG00000184009","ACTG1","ACTG1",-0.0162293792248504,-0.254696256153714,0.847689697089839
"54",72,"ENSG00000163017","ACTG2","ACTG2",0.252585060421655,0.41269021953228,0.74681708589561
"55",81,"ENSG00000282844","ACTN4","ACTN4",-0.286086795093293,-4.21453086883083,6.54351575729856e-05
"56",81,"ENSG00000130402","ACTN4","ACTN4",-0.286086795093293,-4.21453086883083,6.54351575729856e-05
"57",86,"ENSG00000136518","ACTL6A","ACTL6A",-0.916078330441643,-11.9235482088601,1.05700267367425e-31
"58",87,"ENSG00000072110","ACTN1","ACTN1",0.301703749139952,4.78388149178551,5.03606539309775e-06
"59",89,"ENSG00000248746","ACTN3","ACTN3",1.64388829747137,1.29484293532885,0.265497431535635
"60",90,"ENSG00000115170","ACVR1","ACVR1",0.0679045799594694,0.739307999244202,0.545081360808081
"61",91,"ENSG00000135503","ACVR1B","ACVR1B",0.820982352997836,6.14656931478032,2.9898701457071e-09
"62",92,"ENSG00000121989","ACVR2A","ACVR2A",0.228524383239202,1.48918442727096,0.195017482423011
"63",93,"ENSG00000114739","ACVR2B","ACVR2B",0.913154415524375,8.60701526964667,4.54040319369808e-17
"64",94,"ENSG00000139567","ACVRL1","ACVRL1",-0.469129757810592,-1.18945427609484,0.310457456665781
