,ngram,False,True,n,False_q,True_q,fpr,fpr_sig
1382,IPR002182,0.7468702812489645,1.0,2.0,1.0,1.0,0.48,False
1383,IPR002190,0.6454476892363556,1.0,3.0,1.0,1.0,1.0,False
1384,IPR002205,1.0,0.01842822848613467,2.0,1.0,0.11396532663553348,0.0,True
1385,IPR002219,0.999999992786334,2.7528173720839715e-08,94.0,1.0,3.743107200409969e-06,0.07,False
1386,IPR002219|IPR000008,0.9996383931419804,0.0035957572903632324,9.0,1.0,0.04915152888705508,0.02,True
1387,IPR002219|IPR000008|IPR000719,0.999755395383494,0.004044795754185002,6.0,1.0,0.05096727829572154,0.0,True
1388,IPR002219|IPR000008|IPR010439,0.7468702812489645,1.0,2.0,1.0,1.0,0.72,False
1389,IPR002219|IPR000198,0.9996433922641071,0.0027590417621726113,12.0,1.0,0.03993268567267754,0.01,True
1390,IPR002219|IPR000219,0.9936084195799628,0.03609635497938146,10.0,1.0,0.1777977590435526,0.0,True
1391,IPR002219|IPR000219|IPR001849,0.9936084195799628,0.03609635497938146,10.0,1.0,0.1777977590435526,0.0,True
1392,IPR002219|IPR000719,0.7452687452684845,0.5436875540272179,13.0,1.0,0.7637937987108849,0.55,False
1393,IPR002219|IPR000719|IPR000961,0.908414135386015,0.4422077928135309,4.0,1.0,0.6539460977296835,0.33,False
1394,IPR002219|IPR001206,0.6491641453071706,0.7311796200243008,9.0,1.0,0.9802815507694764,0.85,False
1395,IPR002219|IPR001206|IPR000756,0.3110807983458626,1.0,8.0,1.0,1.0,0.95,False
1396,IPR002219|IPR001452,0.9992402040298105,0.008424795466179025,7.0,1.0,0.08692175916880611,0.01,True
1397,IPR002219|IPR001452|IPR000980,0.9984886650042677,0.020191009600528883,5.0,1.0,0.11396532663553348,0.0,True
1398,IPR002219|IPR001452|IPR001452,0.9815717715138653,0.2531297187510355,2.0,1.0,0.46495601023341643,0.07,False
1399,IPR002219|IPR001849,0.8608175653770442,0.5179641323611743,5.0,1.0,0.73003837204315,0.63,False
1400,IPR002219|IPR001849|IPR001180,0.908414135386015,0.4422077928135309,4.0,1.0,0.6539460977296835,0.45,False
1401,IPR002219|IPR002219,0.7836747462919804,0.4992327387509564,12.0,1.0,0.73003837204315,0.93,False
